anchor_hs4,anchor_product_name_short,anchor_sector,anchor_hs_section_name,anchor_density,anchor_density_percentile,anchor_embeddedness,candidate_hs4,candidate_product_name_short,candidate_sector,proximity,proximity_above_country_median,proximity_rank,eligible_candidate_count,pci,cog,distance_travelled,accessible_market_size,accessible_market_size_share,accessible_market_growth_5y,dai_index,dai_percentile,alignment_weighted_percentile,pci_norm,cog_norm,accessible_market_size_norm,accessible_market_growth_norm,nai_norm,attractiveness_score,feasibility_score,combined_score
7108,Gold,Stone,"14. Pearls, precious stones and metals",0.1305188100089307,97.1830985915493,23.384654323155186,1515,Other vegetable fats and oils,Agriculture,0.3652050834431394,1,6,1169,-2.3015284185375795,0.0808884465311204,10555.638990613936,1480865761.0,0.0003242004094574,0.1045635659946173,1.0176598748606824,45.16129032258064,45.16129032258064,0.4028743227249735,0.22760443358227403,0.012307257224400861,0.6291346180679414,0.43333333333333324,0.31688384600138797,0.43333333333333324,0.3518186922009715
7108,Gold,Stone,"14. Pearls, precious stones and metals",0.1305188100089307,97.1830985915493,23.384654323155186,7204,Ferrous waste and scrap,Metals,0.3633091329131212,1,7,1169,-1.5455613585985652,0.0502210974774137,12260.108247905951,1261390531.0,0.0002761515171772,0.0993414756966004,0.5802187243807865,9.67741935483871,9.67741935483871,0.4857275442287396,0.1982002638359246,0.010483230914162913,0.6238643695437863,0.06666666666666667,0.3345268728913248,0.06666666666666667,0.25416881102392735
7108,Gold,Stone,"14. Pearls, precious stones and metals",0.1305188100089307,97.1830985915493,23.384654323155186,7602,"Waste or scrap, aluminium",Metals,0.3601705845774665,1,8,1169,-1.890288412853422,0.1274991390441197,13417.425440980856,1942167451.0,0.0004251914653114,0.1418780904058825,0.6307289570796691,9.67741935483871,9.67741935483871,0.4479458094176717,0.27229524504585806,0.016141067625315943,0.6667932578051168,0.06666666666666667,0.35452451787680034,0.06666666666666667,0.2681671625137602
7108,Gold,Stone,"14. Pearls, precious stones and metals",0.1305188100089307,97.1830985915493,23.384654323155186,1101,Wheat or meslin flour,Agriculture,0.3574191315586151,1,9,1169,-2.0609399307511125,0.0629661927387439,11320.799910598176,176004435.0,3.8531993510878887e-05,-0.0755394537607251,0.5936929313077774,22.58064516129032,22.58064516129032,0.429242576483856,0.210420392280716,0.0014627469357638434,0.44737068449101414,0.19999999999999996,0.2912070537816169,0.19999999999999996,0.2638449376471318
7108,Gold,Stone,"14. Pearls, precious stones and metals",0.1305188100089307,97.1830985915493,23.384654323155186,3401,Soap,Chemicals,0.3557043939232158,1,10,1169,-1.4026740950037846,0.1066389977916518,10163.809091106405,854926066.0,0.0001871657701545,0.0316919815273504,1.2205069385322775,70.96774193548387,70.96774193548387,0.501387843106895,0.25229432702564675,0.007105164613301575,0.5555910103219595,0.7000000000000001,0.34819318578667874,0.7000000000000001,0.4537352300506751
7108,Gold,Stone,"14. Pearls, precious stones and metals",0.1305188100089307,97.1830985915493,23.384654323155186,4101,Raw hides of bovines or equines,Agriculture,0.3532148901891724,1,11,1169,-2.304208551713479,0.009407684453675,13045.928465397032,1889797.0,4.137261980976695e-07,-0.5188221757026208,1.2113307956609385,64.51612903225806,64.51612903225806,0.40258058285262993,0.15906794358299983,1.570582452064747e-05,0.0,0.6333333333333333,0.19657934012614847,0.6333333333333333,0.3276055380883039
7108,Gold,Stone,"14. Pearls, precious stones and metals",0.1305188100089307,97.1830985915493,23.384654323155186,0106,Other live animals,Agriculture,0.3522762481775268,1,12,1169,-2.029505312788058,0.0153105181208963,9634.224375421609,23761643.0,5.202047743193635e-06,0.1322887394220187,0.7788355824101701,9.67741935483871,9.67741935483871,0.4326877786665931,0.16472764122531894,0.0001974795151438336,0.6571154736255699,0.06666666666666667,0.30769233993327627,0.06666666666666667,0.23538463795329337
7310,"Tanks etc. < 300 liters, iron or steel",Metals,15. Base metals and articles of base metal,0.1059360514981695,32.3943661971831,33.09984109105826,4415,Packing boxes,Agriculture,0.4414954624793534,1,1,1169,0.7767833917184502,0.3932032214750001,10058.032068753,14811079.0,3.242534200442816e-06,-0.0109321553050085,0.6553581541997026,16.129032258064516,16.129032258064516,0.7402541687375463,0.5270550525666617,0.00012309269605965446,0.5125737928066995,0.1333333333333333,0.5204627602818868,0.1333333333333333,0.4043239321973207
7310,"Tanks etc. < 300 liters, iron or steel",Metals,15. Base metals and articles of base metal,0.1059360514981695,32.3943661971831,33.09984109105826,7309,"Tanks etc. > 300 liters, iron or steel",Metals,0.4404670259228406,1,2,1169,0.8163658188311202,0.436156498306043,10935.271213573147,240483834.0,5.2648227478809133e-05,0.1037532889657906,0.8073057733233026,16.129032258064516,16.129032258064516,0.7445923625227191,0.5682390962507136,0.0019986257237452044,0.6283168686473783,0.1333333333333333,0.55403833472637,0.1333333333333333,0.42782683430845897
7310,"Tanks etc. < 300 liters, iron or steel",Metals,15. Base metals and articles of base metal,0.1059360514981695,32.3943661971831,33.09984109105826,7308,"Structures and their parts, of iron or steel",Metals,0.4392203138784114,1,3,1169,1.3037583294276287,0.4774707713468454,10909.615917579991,1755622445.0,0.0003843518639646,0.0956079180035045,0.9981188893568644,38.70967741935484,38.70967741935484,0.7980100863624151,0.6078516462403237,0.014590719556481497,0.6200963809034216,0.36666666666666664,0.587254671479944,0.36666666666666664,0.5210782700359609
