hs4,market_growth_5y,total_trade,market_size_share,ecu_total_trade,ecu_export_growth_5y,ecu_market_share_2020,ecu_market_share_2024,market_share_change_abs,distance_travelled,eff_num_exp,ecu_exporter_rank,accessible_market_size,accessible_market_growth_5y,raw_rca_trade,market_size,accessible_market_size_share,accessible_market_to_market_ratio,above_median_cagr,above_median_accessible_market_growth,above_median_export_cagr,dai_index,dai_percentile,dai_lead,alignment_weighted_percentile,alignment_lead_unweighted,alignment_lead_weighted
2607,0.0322922592644332,6498963317.0,0.0003183032592863,1576419.0,0.8025023083800571,1.494382526887446e-05,0.0002425646865672,0.0002276208612983,9307.16,9.150113351296008,46.0,433322586.0,0.1650069964850711,0.1462566538330172,6498963317.0,9.48656951279055e-05,0.066675647309243,False,True,True,1.3002791296549352,64.51612903225806,-19.354838709677423,64.51612903225806,-19.354838709677423,-19.354838709677423
2608,0.0845379228988247,10108950246.0,0.0004951115515374,2650613.0,0.0,0.0,0.0002622045747083,0.0002622045747083,8185.24,11.501630364825996,52.0,1036096382.0,0.0237486696309063,0.1580987086754694,10108950246.0,0.0002268287106962,0.1024929747191081,True,False,False,1.1887642786483754,32.25806451612903,-16.12903225806452,32.25806451612903,-16.12903225806452,-16.12903225806452
2609,0.2262803353178359,1320214702.0,6.466087314342346e-05,0.0,0.0,0.0,0.0,0.0,9156.85,5.042134769754539,,1896251.0,-0.0072339621036512,0.0,1320214702.0,4.151391482095187e-07,0.0014363201660512,True,False,False,1.6445383832680975,54.83870967741935,-29.032258064516135,54.83870967741935,-29.032258064516135,-29.032258064516135
2610,0.2203853330051102,5561707319.0,0.0002723987627693,0.0,0.0,0.0,0.0,0.0,8516.24,1.532178665116107,62.0,58548032.0,0.1277350175332234,0.0,5561707319.0,1.281770194653748e-05,0.010526989041654,True,True,False,1.1486634819153954,51.61290322580645,-12.903225806451616,51.61290322580645,-12.903225806451616,-12.903225806451616
2611,0.1654932548028029,220809853.0,1.0814724205102044e-05,0.0,0.0,0.0,0.0,0.0,6635.31,9.813391041958642,,42722738.0,0.011215391291206,0.0,220809853.0,9.353129444624389e-06,0.1934820272716725,True,False,False,1.170571033040824,48.38709677419355,6.451612903225808,48.38709677419355,6.451612903225808,6.451612903225808
2612,0.1388170840731424,1068739060.0,5.234421392020041e-05,0.0,0.0,0.0,0.0,0.0,9516.64,2.1921851905029817,,574232258.0,0.2670305158369221,0.0,1068739060.0,0.0001257145232675,0.5372988407478997,True,True,False,1.464776100661774,83.87096774193549,-6.451612903225794,83.87096774193549,-6.451612903225794,-6.451612903225794
2613,0.1614304560272244,7456022805.0,0.0003651776820983,272413.0,-0.0365310975465679,9.300325412667816e-05,3.6535966576888707e-05,-5.646728754978947e-05,7934.67,6.761252452428931,39.0,1883908936.0,0.1940561484368883,0.0220297038769893,7456022805.0,0.0004124371462403,0.2526694170968271,True,True,False,1.4657907546666502,87.09677419354838,16.129032258064512,87.09677419354838,16.129032258064512,16.129032258064512
2614,0.0421916716878629,2304922796.0,0.0001128894567616,0.0,0.0,1.8707569803413312e-06,0.0,-1.8707569803413312e-06,8737.0,7.903929932507724,60.0,569938486.0,0.0189989672891388,0.0,2304922796.0,0.0001247745038024,0.2472700981521291,False,False,False,1.120144187520682,61.29032258064516,16.12903225806452,61.29032258064516,16.12903225806452,16.12903225806452
2615,0.081401635235434,1783242496.0,8.73388371172811e-05,0.0,0.0,0.0,0.0,0.0,8815.86,7.39392635438947,83.0,176855858.0,0.0975376322271139,0.0,1783242496.0,3.8718392367879355e-05,0.0991765608977501,True,True,False,1.3838478842467647,64.51612903225806,-12.903225806451616,64.51612903225806,-12.903225806451616,-12.903225806451616
2616,0.0878927495369648,14982351769.0,0.0007337987871653,744748178.0,0.1918815284178689,0.0314915781694621,0.0497083628446743,0.0182167846752121,8840.22,15.028029065383269,8.0,11001682820.0,0.816714125056379,29.97212380774421,14982351769.0,0.0024085573243025,0.7343094722127399,True,True,True,1.432223326522309,50.0,-33.33333333333334,50.0,-33.33333333333334,-33.33333333333334
